ngae1985;noga1995;p
100;0111B;0.061
100;0112A;0.092
100;0113A;0.076
100;0113B;0.389
100;0123A;0.046
100;0123B;0.015
100;0124A;0.015
100;0125A;0.031
100;0130A;0.046
100;0130C;0.031
100;0130D;0.031
100;0141A;0.015
100;0142B;0.153
200;0112B;0.011
200;0112C;0.031
200;0141B;0.943
200;0201A;0.016
300;0202A;0.036
300;0201A;0.964
400;0502A;0.26
400;0501A;0.74
1110;4010A;1
1120;4020A;1
1130;4100A;1
1140;4020A;0.119
1140;4010A;0.881
1150;4030A;1
1210;1440A;1
1220;1120A;1
1230;1450A;1
2111;1512A;0.38
2111;1511A;0.62
2112;1513A;1
2121;0142B;0.009
2121;1551B;0.991
2121;1551C;0
2122;1551A;1
2123;1552A;0.097
2123;1551A;0.903
2124;1551D;0.155
2124;1551A;0.845
2125;1551D;1
2131;1561A;1
2132;1572A;0.038
2132;1571A;0.962
2140;1532A;0.294
2140;1533A;0.367
2140;1589A;0.339
2151;1583A;1
2152;1584B;1
2153;1584A;1
2161;1581A;1
2162;1582A;1
2171;1586A;1
2172;1589A;1
2173;1589A;0.774
2173;1587A;0.226
2174;1541A;0.224
2174;1542A;0.653
2174;1543A;0.122
2175;1585A;1
2176;1520A;0.05
2176;1531A;0.151
2176;1561A;0.009
2176;1588A;0.277
2176;1589A;0.366
2176;2463A;0.148
2180;1589A;1
2211;1592A;1
2212;1591A;1
2221;1595A;0.015
2221;1593A;0.985
2222;1594A;1
2230;1596A;1
2240;1598A;1
2310;1600A;1
2320;1600A;1
2330;1600A;1
2411;1713A;0.602
2411;1712A;0.398
2412;1711A;1
2413;1716A;0.481
2413;1715A;0.519
2414;2470A;1
2415;1711A;0.346
2415;1712A;0.004
2415;1715A;0.608
2415;1716A;0.043
2421;1722A;1
2422;1721A;1
2423;1724A;1
2424;1721A;0.482
2424;1724A;0.004
2424;1760A;0.514
2430;1711A;0.918
2430;1721A;0.034
2430;1723A;0.013
2430;1725A;0.034
2440;1725A;1
2451;1754A;1
2452;1754A;1
2453;1754A;1
2460;1730A;1
2471;1751A;1
2472;1754C;1
2473;1752A;1
2474;1754B;1
2475;1754C;1
2476;1754C;1
2480;1754C;1
2511;1822A;1
2512;1822B;1
2513;1824B;0.286
2513;1822A;0.714
2514;1822C;1
2515;1823A;1
2516;1824A;1
2517;1821A;1
2518;1824B;1
2519;3663A;0.214
2519;1824B;0.786
2522;1822B;0.426
2522;1772A;0.574
2523;1772A;0.228
2523;1822B;0.728
2523;1824B;0.043
2524;1823A;1
2525;1824A;1
2526;1771A;1
2527;1772B;0.864
2527;1822C;0.004
2527;1824A;0.132
2530;1771A;0.337
2530;1772A;0.045
2530;1821A;0.089
2530;1822A;0.25
2530;1822B;0.018
2530;1822C;0.171
2530;1823A;0.037
2530;1824A;0.035
2530;1824B;0.018
2541;1740A;1
2542;1740B;1
2543;1740C;1
2550;1830A;1
2611;2010B;0.117
2611;2010A;0.883
2612;2020A;1
2621;2051A;0.135
2621;2040A;0.865
2622;2051A;1
2623;2051A;0.989
2623;1930A;0.011
2624;2040A;1
2625;2051A;1
2626;2051A;1
2627;2051A;1
2631;3614A;0.845
2631;3613A;0.155
2632;3614A;0.908
2632;3611A;0.092
2633;3611A;1
2634;3612A;1
2635;3615A;1
2636;3611A;0.001
2636;3612A;0.106
2636;3613A;0.121
2636;3614A;0.691
2636;3614B;0.081
2637;3614B;1
2641;2030A;0.778
2641;4542A;0.077
2641;4544C;0.145
2642;4542A;0.155
2642;3613A;0.845
2643;4543A;0.127
2643;2030E;0.873
2644;2030B;0.166
2644;2030C;0.672
2644;4542A;0.162
2650;2030D;0.862
2650;2030E;0.015
2650;2040A;0
2650;2051A;0.002
2650;3611A;0
2650;3612A;0.017
2650;3613A;0.036
2650;3614A;0.067
2661;2052A;1
2662;2052A;1
2711;2111A;1
2712;2112A;1
2721;2124A;1
2722;2123A;1
2723;2121A;1
2724;2121A;1
2725;2125A;0.371
2725;2122A;0.629
2811;2224A;1
2812;2224A;1
2821;2221A;1
2822;2222A;0.904
2822;2222C;0.073
2822;2225C;0.023
2823;2225A;1
2824;2225B;1
2825;2222B;1
2830;2223A;1
2841;2211A;1
2842;2213A;0.144
2842;2212A;0.856
2843;2213A;1
2844;2214A;0.336
2844;2211A;0.664
2845;2215A;0.369
2845;2211A;0.631
2910;1910A;1
2921;1920A;1
2922;1920A;1
2930;3310B;0.075
2930;1930A;0.925
3111;2413A;0.665
3111;2411A;0.335
3112;2413A;0.665
3112;2411A;0.335
3113;2416A;1
3121;2442A;0.448
3121;2441A;0.552
3122;2412A;1
3123;2430A;1
3124;2430A;1
3125;2451A;1
3126;2463A;1
3127;2452A;1
3128;2415A;1
3129;2420A;1
3131;2464A;1
3132;2461A;1
3133;2462A;0.541
3133;2430A;0.459
3134;2466A;1
3135;2413A;0.096
3135;2451A;0.392
3135;2466A;0.252
3135;3663A;0.26
3136;2466A;1
3140;2320A;1
3211;2524A;0.585
3211;2521A;0.415
3212;4542A;0.019
3212;2523A;0.981
3213;2522A;1
3214;2524A;1
3215;3614A;0.855
3215;3612A;0.145
3216;2524A;0.936
3216;3310A;0.057
3216;3310B;0.007
3220;2511A;0.033
3220;2512A;0.09
3220;2513A;0.877
3311;1411A;0.595
3311;1412A;0.068
3311;2670A;0.337
3312;2670A;1
3313;2670A;1
3320;1030A;0.002
3320;1421A;0.996
3320;1422A;0
3320;1430A;0.002
3331;2651A;0.842
3331;2653A;0.009
3331;2664A;0.149
3332;2661A;0.974
3332;2662A;0.022
3332;2666A;0.004
3333;2663A;1
3334;2665A;0.815
3334;2666A;0.061
3334;2682B;0.124
3341;2681A;1
3342;2666A;0.005
3342;2661A;0.995
3343;2682A;1
3344;2670A;1
3351;2640A;1
3352;2626A;1
3353;2621A;0.45
3353;2622A;0.126
3353;2623A;0.047
3353;2624A;0.014
3353;2625A;0.033
3353;2630A;0.084
3353;3310C;0.246
3361;2612A;0.846
3361;2611A;0.154
3362;2613A;1
3363;2615A;0.763
3363;2613A;0.237
3364;2615A;0.608
3364;2614A;0.392
3410;2710A;0.299
3410;2722A;0.186
3410;2731A;0.008
3410;2732A;0.055
3410;2733A;0.062
3410;2734A;0.053
3410;2735A;0.007
3410;2873A;0.329
3421;2745A;0.003
3421;2742A;0.997
3422;2742A;0.688
3422;2744A;0.307
3422;2745A;0.005
