noga2008;noga2002;p
11100;01.11A;0.93122102
11100;01.30A;0.06877898
11100;01.12A;0
11200;01.11A;1
11200;01.30A;0
11300;01.12A;0.627742695
11300;01.11A;0.203574869
11300;01.30A;0.168682436
11400;01.11A;1
11400;01.30A;0
11500;01.30A;1
11500;01.11A;0
11600;01.11A;1
11600;01.30A;0
11900;01.12A;0.891445428
11900;01.30A;0.083775811
11900;01.11A;0.024778761
12101;01.13A;0.998802108
12101;01.30A;0.001197892
12102;01.13A;1
12102;01.30A;0
12200;01.13A;1
12200;01.30A;0
12300;01.13A;1
12300;01.30A;0
12400;01.13A;0.925028835
12400;01.30A;0.074971165
12500;01.13A;0.576017131
12500;01.30A;0.370449679
12500;01.12A;0.053533191
12600;01.13A;1
12600;01.11A;0
12600;01.30A;0
12700;01.13A;0.5
12700;01.30A;0.5
12800;01.13A;0.590163934
12800;01.30A;0.31147541
12800;01.11A;0.098360656
12800;01.12A;0
12900;01.13A;1
12900;01.11A;0
12900;01.30A;0
12900;02.01A;0
13000;01.12A;0.661764706
13000;01.30A;0.338235294
14100;01.21A;0.972658798
14100;01.30A;0.027341202
14200;01.21B;0.841818412
14200;01.30A;0.158181588
14300;01.22A;0.885887649
14300;01.30A;0.114112351
14400;01.25A;0.5
14400;01.30A;0.5
14500;01.22A;0.915951786
14500;01.30A;0.084048214
14600;01.23A;0.981093394
14600;01.30A;0.018906606
14700;01.24A;0.939504373
14700;01.30A;0.060495627
14900;01.25A;1
14900;01.22A;0
14900;01.30A;0
15000;01.30A;0.966482792
15000;01.11A;0.021075669
15000;01.25A;0.007914618
15000;01.12A;0.003627533
15000;01.13A;0.000389735
15000;01.24A;0.000299796
15000;01.22A;0.000209857
15000;01.21A;0
15000;01.21B;0
15000;01.23A;0
16100;01.41A;1
16200;01.42A;1
16200;92.72A;0
16300;01.41A;1
16300;01.11A;0
16300;01.13A;0
16400;01.11A;1
16400;01.12A;0
16400;01.13A;0
16400;01.41A;0
17000;01.50A;1
21000;02.01A;1
21000;01.12A;0
22000;02.01A;1
23000;01.12A;0.5
23000;01.13A;0.5
23000;02.01A;0
24000;02.02A;0.948781701
24000;74.14A;0.051218299
31100;05.01A;1
31200;05.01A;1
32100;05.02A;1
32200;05.02A;1
32200;01.25A;0
51000;10.10A;1
52000;10.20A;1
61000;11.10A;1
62000;11.10A;1
71000;13.10A;1
72100;12.00A;1
72900;13.20A;1
81100;14.11A;0.823379924
81100;14.12A;0.176620076
81100;14.13A;0
81200;14.21A;0.892754457
81200;14.22A;0.107245543
89100;14.30A;1
89200;10.30A;1
89300;14.40A;1
89900;14.50A;1
91000;11.20A;1
91000;11.10A;0
99000;10.10A;0.071428571
99000;10.20A;0.071428571
99000;10.30A;0.071428571
99000;12.00A;0.071428571
99000;13.10A;0.071428571
99000;13.20A;0.071428571
99000;14.11A;0.071428571
99000;14.12A;0.071428571
99000;14.13A;0.071428571
99000;14.21A;0.071428571
99000;14.22A;0.071428571
99000;14.30A;0.071428571
99000;14.40A;0.071428571
99000;14.50A;0.071428571
101100;15.11A;1
101100;15.12A;0
101200;15.12A;1
101300;15.13A;1
102000;15.20A;1
103100;15.31A;1
103200;15.32A;1
103900;15.33A;1
103900;01.41A;0
103900;51.31A;0
104100;15.42A;0.574675325
104100;15.41A;0.425324675
104100;01.13A;0
104200;15.43A;1
105101;15.51A;0.999656239
105101;15.51C;0.000343761
105102;15.51B;1
105103;15.51D;1
105200;15.52A;1
106100;15.61A;1
106200;15.62A;1
107100;15.81A;1
107200;15.82A;1
107300;15.85A;1
108100;15.83A;1
108201;15.84A;1
108202;15.84B;1
108300;15.86A;1
108400;15.87A;1
108400;14.40A;0
108500;15.33A;0.67549325
108500;15.13A;0.316718588
108500;15.20A;0.007788162
108500;15.81A;0
108500;15.85A;0
108600;15.88A;1
108900;15.89A;0.945374981
108900;15.13A;0.054172325
108900;15.81A;0.000452694
108900;15.62A;0
109100;15.71A;1
109200;15.72A;1
110100;15.91A;0.782978723
110100;15.92A;0.204255319
110100;51.34A;0.012765957
110200;15.93A;0.764391691
110200;51.34A;0.235608309
110200;01.13A;0
110300;15.94A;1
110400;15.95A;1
110500;15.96A;1
110600;15.97A;1
110700;15.98A;1
120000;16.00A;1
131001;17.11A;1
131002;17.13A;0.871980676
131002;17.12A;0.128019324
131003;17.15A;1
131004;17.17A;1
131004;17.14A;0
131004;17.16A;0
132001;17.21A;1
132002;17.22A;1
132002;17.23A;0
132003;17.25A;0.993217054
132003;17.24A;0.006782946
132003;18.30A;0
133000;17.30A;1
133000;52.74A;0
139100;17.60A;1
139100;18.30A;0
139201;17.40A;1
139202;17.40B;1
139203;17.40C;1
139300;17.51A;1
139400;17.52A;1
139500;17.53A;1
139600;17.54C;1
139901;17.54A;1
139902;17.54B;1
139903;17.54C;1
139903;36.63A;0
141100;18.10A;1
141200;18.21A;1
141301;18.22A;1
141302;18.22B;1
141303;18.22C;1
141401;18.23A;1
141402;18.23A;1
141403;18.23A;1
141900;18.24B;0.868421053
141900;18.24A;0.129385965
141900;17.71A;0.002192983
142000;18.30A;1
143100;17.71A;1
143900;17.72A;1
151100;19.10A;0.829545455
151100;18.30A;0.170454546
151200;19.20A;1
151200;36.63A;0
152000;19.30A;1
161001;20.10A;1
161001;02.01A;0
161002;20.10B;1
161003;20.10B;1
162100;20.20A;1
162200;20.30E;1
162301;20.30A;0.808886765
162301;20.30B;0.191113235
162302;20.30D;0.75983742
162302;20.30C;0.24016258
162303;20.30E;1
162400;20.40A;1
162900;20.51A;0.866488652
162900;20.52A;0.121495327
162900;36.63A;0.012016021
162900;19.30A;0
162900;36.14B;0
171100;21.11A;1
171200;21.12A;1
172100;21.21A;1
172200;21.22A;1
172200;17.54C;0
172300;21.23A;1
172300;22.22C;0
172400;21.24A;1
172900;21.25A;0.999408284
172900;36.63A;0.000591716
181100;22.21A;1
181201;22.22A;1
181201;21.22A;0
181201;21.25A;0
181202;22.22B;1
181202;21.22A;0
181202;21.25A;0
181203;22.25A;1
181204;22.22C;1
181204;21.22A;0
181204;21.25A;0
181301;22.24A;1
181302;22.25B;1
181400;22.23A;1
182000;22.32A;0.507692308
182000;22.31A;0.492307692
182000;22.33A;0
191000;23.10A;0.5
191000;24.14A;0.5
192000;23.20A;1
192000;10.10A;0
192000;10.20A;0
192000;10.30A;0
201100;24.11A;1
201200;24.12A;1
201300;24.13A;1
201300;23.30A;0
201400;24.14A;1
201400;15.92A;0
201500;24.15A;1
201600;24.16A;1
201700;24.17A;1
202000;24.20A;1
203000;24.30A;1
204100;24.51A;1
204200;24.52A;0.985049484
204200;24.51A;0.014950516
205100;24.61A;0.962962963
205100;36.63A;0.037037037
205200;24.62A;1
205300;24.63A;1
205900;24.66A;0.870757976
205900;24.64A;0.127006706
205900;24.62A;0.002235318
206000;24.70A;1
211000;24.41A;1
212000;24.42A;0.996998065
212000;23.30A;0.003001936
221100;25.12A;0.736842105
221100;25.11A;0.263157895
221900;25.13A;0.921639109
221900;36.63A;0.069015097
221900;19.30A;0.009345794
221900;36.62A;0
222100;25.21A;1
222200;25.22A;1
222300;25.23A;1
222300;36.63A;0
222900;25.24A;0.965895954
222900;36.63A;0.034104046
222900;19.30A;0
231100;26.11A;1
231200;26.12A;1
231300;26.13A;1
231400;26.14A;1
231900;26.15A;1
232000;26.26A;1
233100;26.30A;1
233200;26.40A;1
234100;26.21A;1
234200;26.22A;1
234300;26.23A;1
234400;26.24A;1
234400;31.62A;0
234900;26.25A;1
235100;26.51A;1
235200;26.53A;0.522123894
235200;26.52A;0.477876106
236100;26.61A;1
236200;26.62A;1
236300;26.63A;1
236400;26.64A;1
236500;26.65A;1
236900;26.66A;1
237000;26.70A;1
239100;26.81A;1
239901;26.82A;1
