noga1995;noga2002
1;1
1.1;1.1
1.11;1.11
01.11A;01.11A
01.11B;01.11A
1.12;1.12
01.12A;01.12A
01.12B;01.12A
01.12C;01.12A
1.13;1.13
01.13A;01.13A
01.13B;01.13A
01.13C;01.13A
1.2;1.2
1.21;1.21
01.21A;01.21A
01.21B;01.21B
01.21C;01.21B
01.21D;01.21B
01.21E;01.21B
1.22;1.22
01.22A;01.22A
01.22B;01.22A
01.22C;01.22A
1.23;1.23
01.23A;01.23A 
01.23B;01.23A
01.23C;01.23A
1.24;1.24
01.24A;01.24A 
01.24B;01.24A
01.24C;01.24A
1.25;1.25
01.25A;01.25A
1.3;1.3
1.3;1.3
01.30A;01.30A 
01.30B;01.30A
01.30C;01.30A
01.30D;01.30A
1.4;1.4
1.41;1.41
01.41A;01.41A
01.41B;01.41B
1.42;1.42
01.42A;01.42A
01.42B;01.42A
1.5;1.5
1.5;1.5
01.50A;01.50A
2;2
2;2
2.01;2.01
02.01A;02.01A
2.02;2.02
02.02A;02.02A
5;5
5;5
5.01;5.01
05.01A;05.01A
5.02;5.02
05.02A;05.02A
10;10
10.1;10.1
10.1;10.1
10.10A;10.10A
10.2;10.2
10.2;10.2
10.20A;10.20A
10.3;10.3
10.3;10.3
10.30A;10.30A
11;11
11.1;11.1
11.1;11.1
11.10A;11.10A
11.2;11.2
11.2;11.2
11.20A;11.20A
12;12
12;12
12;12
12.00A;12.00A
13;13
13.1;13.1
13.1;13.1
13.10A;13.10A
13.2;13.2
13.2;13.2
13.20A;13.20A
14;14
14.1;14.1
14.11;14.11
14.11A;14.11A
14.12;14.12
14.12A;14.12A
14.13;14.13
14.13A;14.13A
14.2;14.2
14.21;14.21
14.21A;14.21A
14.22;14.22
14.22A;14.22A
14.3;14.3
14.3;14.3
14.30A;14.30A
14.4;14.4
14.4;14.4
14.40A;14.40A
14.5;14.5
14.5;14.5
14.50A;14.50A
15;15
15.1;15.1
15.11;15.11
15.11A;15.11A
15.12;15.12
15.12A;15.12A
15.13;15.13
15.13A;15.13A
15.2;15.2
15.2;15.2
15.20A;15.20A
15.3;15.3
15.31;15.31
15.31A;15.31A
15.32;15.32
15.32A;15.32A
15.33;15.33
15.33A;15.33A
15.4;15.4
15.41;15.41
15.41A;15.41A
15.42;15.42
15.42A;15.42A
15.43;15.43
15.43A;15.43A
15.5;15.5
15.51;15.51
15.51A;15.51A
15.51B;15.51B
15.51C;15.51C
15.51D;15.51D
15.52;15.52
15.52A;15.52A
15.6;15.6
15.61;15.61
15.61A;15.61A
15.62;15.62
15.62A;15.62A
15.7;15.7
15.71;15.71
15.71A;15.71A
15.72;15.72
15.72A;15.72A
15.8;15.8
15.81;15.81
15.81A;15.81A
15.82;15.82
15.82A;15.82A
15.83;15.83
15.83A;15.83A
15.84;15.84
15.84A;15.84A
15.84B;15.84B
15.85;15.85
15.85A;15.85A
15.86;15.86
15.86A;15.86A
15.87;15.87
15.87A;15.87A
15.88;15.88
15.88A;15.88A
15.89;15.89
15.89A;15.89A
15.9;15.9
15.91;15.91
15.91A;15.91A
15.92;15.92
15.92A;15.92A
15.93;15.93
15.93A;15.93A
15.94;15.94
15.94A;15.94A
15.95;15.95
15.95A;15.95A
15.96;15.96
15.96A;15.96A
15.97;15.97
15.97A;15.97A
15.98;15.98
15.98A;15.98A
16;16
16;16
16;16
16.00A;16.00A
17;17
17.1;17.1
17.11;17.11
17.11A;17.11A
17.12;17.12
17.12A;17.12A
17.13;17.13
17.13A;17.13A
17.14;17.14
17.14A;17.14A
17.15;17.15
17.15A;17.15A
17.16;17.16
17.16A;17.16A
17.17;17.17
17.17A;17.17A
17.2;17.2
17.21;17.21
17.21A;17.21A
17.22;17.22
17.22A;17.22A
17.23;17.23
17.23A;17.23A
17.24;17.24
17.24A;17.24A
17.25;17.25
17.25A;17.25A
17.3;17.3
17.3;17.3
17.30A;17.30A
17.4;17.4
17.4;17.4
17.40A;17.40A
17.40B;17.40B
17.40C;17.40C
17.5;17.5
17.51;17.51
17.51A;17.51A
17.52;17.52
17.52A;17.52A
17.53;17.53
17.53A;17.53A
17.54;17.54
17.54A;17.54A
17.54B;17.54B
17.54C;17.54C
17.6;17.6
17.6;17.6
17.60A;17.60A
17.7;17.7
17.71;17.71
17.71A;17.71A
17.72;17.72
17.72A;17.72A
17.72B;17.72A
18;18
18.1;18.1
18.1;18.1
18.10A;18.10A
18.2;18.2
18.21;18.21
18.21A;18.21A
18.22;18.22
18.22A;18.22A
18.22B;18.22B
18.22C;18.22C
18.23;18.23
18.23A;18.23A
18.24;18.24
18.24A;18.24A
18.24B;18.24B
18.3;18.3
18.3;18.3
18.30A;18.30A
19;19
19.1;19.1
19.1;19.1
19.10A;19.10A
19.2;19.2
19.2;19.2
19.20A;19.20A
19.3;19.3
19.3;19.3
19.30A;19.30A
20;20
20.1;20.1
20.1;20.1
20.10A;20.10A
20.10B;20.10B
20.2;20.2
20.2;20.2
20.20A;20.20A
20.3;20.3
20.3;20.3
20.30A;20.30A
20.30B;20.30B
20.30C;20.30C
20.30D;20.30D
20.30E;20.30E
20.4;20.4
20.4;20.4
20.40A;20.40A
20.5;20.5
20.51;20.51
20.51A;20.51A
20.52;20.52
20.52A;20.52A
21;21
21.1;21.1
21.11;21.11
21.11A;21.11A
21.12;21.12
21.12A;21.12A
21.2;21.2
21.21;21.21
21.21A;21.21A
21.22;21.22
21.22A;21.22A
21.23;21.23
21.23A;21.23A
21.24;21.24
21.24A;21.24A
21.25;21.25
21.25A;21.25A
22;22
22.1;22.1
22.11;22.11
22.11A;22.11A
22.12;22.12
22.12A;22.12A
22.13;22.13
22.13A;22.13A
22.14;22.14
22.14A;22.14A
22.15;22.15
22.15A;22.15A
22.2;22.2
22.21;22.21
22.21A;22.21A
22.22;22.22
22.22A;22.22A
22.22B;22.22B
22.22C;22.22C
22.23;22.23
22.23A;22.23A
22.24;22.24
22.24A;22.24A
22.25;22.25
22.25A;22.25A
22.25B;74.85C
22.25C;22.25B
