Jahr;Quantil;Einkommensuntergrenze;Anzahl Personen;Einkommenssumme;Durchschnittseinkommen
1982;0;0;32295;7074359;219.0543118
1982;0.01;414;290648;684889728;2356.42333
1982;0.1;4529;1291768;21739532727;16829.2857
1982;0.5;29892;1291768;54434640242;42139.64136
1982;0.9;59666;290647;21990577023;75660.77415
1982;0.99;117000;29065;4343845350;149452.7903
1982;0.999;237500;3229;1186828008;367552.8052
1983;0;0;32530;7285999;223.9778358
1983;0.01;425;292769;712837528;2434.812183
1983;0.1;4691;1301196;22740395546;17476.53355
1983;0.5;31030;1301196;56835945714;43679.77285
1983;0.9;62000;292769;23077197498;78823.91065
1983;0.99;122000;29277;4573706157;156221.8177
1983;0.999;248000;3252;1229842584;378180.3764
1984;0;0;32918;8283536;251.6415335
1984;0.01;480;296262;787833777;2659.246805
1984;0.1;5059;1316717;24076345033;18285.13267
1984;0.5;32067;1316717;59340069008;45066.68404
1984;0.9;64000;296262;24109144482;81377.78211
1984;0.99;126478;29626;4821593871;162748.7299
1984;0.999;260456;3291;1300890147;395287.1914
1985;0;0;33945;9164637;269.9848873
1985;0.01;507;305498;853819966;2794.846336
1985;0.1;5275;1357772;25705167058;18931.87299
1985;0.5;33011;1357771;63172850053;46526.88123
1985;0.9;66306;305498;25866111005;84668.67543
1985;0.99;132452;30550;5234537150;171343.2782
1985;0.999;277894;3394;1446775856;426274.5598
1986;0;0;34792;10068859;289.4015578
1986;0.01;540;313128;916072401;2925.552493
1986;0.1;5485;1391679;27236020460;19570.6197
1986;0.5;34073;1391678;66918286029;48084.60436
1986;0.9;68700;313128;27489197294;87789.01055
1986;0.99;138093;31312;5615036941;179325.4005
1986;0.999;292439;3479;1564818765;449789.8146
1987;0;0;35780;10744656;300.29782
1987;0.01;559;322019;968601667;3007.902226
1987;0.1;5640;1431193;28667043034;20030.17275
1987;0.5;34800;1431192;70115499138;48990.98034
1987;0.9;70082;322019;29014569010;90102.04059
1987;0.99;144000;32202;6015203455;186795.9585
1987;0.999;303863;3577;1767851417;494227.402
1988;0;0;36959;9831521;266.0115533
1988;0.01;480;332625;976545341;2935.874757
1988;0.1;5637;1478333;30501983608;20632.68804
1988;0.5;36011;1478333;75183816222;50857.15886
1988;0.9;72830;332625;31141115211;93622.29301
1988;0.99;149071;33263;6435733695;193480.2542
1988;0.999;316493;3695;1797626076;486502.321
1989;0;0;37607;9993576;265.7371234
1989;0.01;480;338461;997252171;2946.431556
1989;0.1;5710;1504270;31713292361;21082.18097
1989;0.5;37043;1504270;79055146968;52553.82808
1989;0.9;75595;338461;32927519426;97286.00762
1989;0.99;156480;33846;6933547643;204855.7479
1989;0.999;335999;3760;1936776645;515100.1715
1990;0;0;39254;10713810;272.935497
1990;0.01;480;353282;1126475964;3188.602771
1990;0.1;6200;1570141;35475315243;22593.71308
1990;0.5;39390;1570141;87622408140;55805.43922
1990;0.9;80295;353282;36307283653;102771.3941
1990;0.99;163127;35328;7524274314;212983.3083
1990;0.999;348000;3925;2153757366;548727.9913
1991;0;0;39614;12090766;305.2144696
1991;0.01;556;356526;1247253638;3498.352541
1991;0.1;6725;1584558;38938828350;24573.93693
1991;0.5;42598;1584557;94898078426;59889.34347
1991;0.9;86068;356526;39190736343;109923.9224
1991;0.99;172280;35652;7929325325;222408.9904
1991;0.999;361248;3961;2179310773;550192.0659
1992;0;0;39137;12238261;312.7030943
1992;0.01;577;352231;1295914855;3679.161843
1992;0.1;7123;1565472;41063042644;26230.45487
1992;0.5;45250;1565472;98874094160;63159.28625
1992;0.9;90573;352231;40612329044;115300.269
1992;0.99;180021;35223;8184955299;232375.303
1992;0.999;378707;3913;2298366797;587366.93
1993;0;0;38413;12200713;317.6193736
1993;0.01;591;345708;1307680794;3782.616526
1993;0.1;7372;1536481;41698084203;27138.69173
1993;0.5;46498;1536480;99437071259;64717.4524
1993;0.9;92430;345708;40546633310;117285.7825
1993;0.99;182528;34571;8168364735;236277.9421
1993;0.999;385000;3841;2333323705;607478.1841
1994;0;0;38445;12133532;315.6075432
1994;0.01;591;346002;1277012084;3690.765036
1994;0.1;7238;1537786;42053229149;27346.60684
1994;0.5;47095;1537785;1.01E+11;65805.31563
1994;0.9;94297;346002;41484987445;119898.1146
1994;0.99;188010;34600;8568849471;247654.609
1994;0.999;418000;3844;2517489992;654914.1498
1995;0;0;38520;11100998;288.1879024
1995;0.01;556;346673;1253473753;3615.723616
1995;0.1;7137;1540771;42356777212;27490.63762
1995;0.5;47582;1540771;1.03E+11;66637.43279
1995;0.9;95700;346673;42230343434;121816.0729
1995;0.99;190968;34668;8574097037;247320.2099
1995;0.999;405601;3851;2407304650;625111.5684
1996;0;0;38447;11228085;292.0406013
1996;0.01;560;346018;1263500846;3651.546584
1996;0.1;7202;1537857;42650893411;27733.97878
1996;0.5;48000;1537856;1.04E+11;67319.10433
1996;0.9;96600;346018;42435587457;122639.8264
1996;0.99;192200;34602;8669075897;250536.8446
1996;0.999;418507;3844;2592678338;674474.0734
1997;0;0;38128;10801535;283.2966586
1997;0.01;539;343150;1228521878;3580.130782
1997;0.1;7100;1525109;41925475261;27490.15006
1997;0.5;47997;1525108;1.03E+11;67723.19881
1997;0.9;97963;343150;43060666988;125486.4257
1997;0.99;200606;34315;9019499866;262844.2333
1997;0.999;443714;3812;2836987096;744225.3662
1998;0;0;36577;9328275;255.0311671
1998;0.01;493;329191;1060601670;3221.842851
1998;0.1;6420;1463071;38419317552;26259.36646
1998;0.5;47381;1463070;99068911308;67713.03581
1998;0.9;98561;329191;41695416037;126660.2551
1998;0.99;206563;32919;9187272631;279087.2332
1998;0.999;495000;3657;3296276667;901360.8605
1999;0;0;38690;11256098;290.9304213
1999;0.01;546;348204;1224748790;3517.331191
1999;0.1;6944;1547572;42353032147;27367.40659
1999;0.5;48466;1547572;1.07E+11;68915.59877
1999;0.9;100408;348204;45241558852;129928.3146
1999;0.99;214575;34821;10145549246;291362.949
1999;0.999;516786;3868;3569475485;922821.9972
2000;0;0;39508;11946195;302.3740761
2000;0.01;576;355570;1299666845;3655.164511
2000;0.1;7163;1580311;44161546189;27944.84515
2000;0.5;49500;1580310;1.11E+11;70501.21494
2000;0.9;103182;355570;47898423158;134708.8426
2000;0.99;228952;35557;11303462300;317896.9626
2000;0.999;590645;3950;4441078914;1124323.776
2001;0;0;39886;12063953;302.4608384
2001;0.01;589;358970;1347376200;3753.450706
2001;0.1;7310;1595420;45378246487;28442.82163
2001;0.5;50415;1595420;1.14E+11;71751.97965
2001;0.9;105080;358970;49623961761;138239.8578
2001;0.99;238967;35897;11904737227;331635.9926
2001;0.999;611909;3988;4650043115;1166008.805
2002;0;0;40729;13486614;331.1304967
2002;0.01;635;366561;1457920549;3977.293135
2002;0.1;7719;1629160;47863827036;29379.4514
2002;0.5;51700;1629160;1.19E+11;73325.51028
2002;0.9;107355;366561;51281188609;139898.1032
2002;0.99;234880;36656;11854875387;323408.8659
2002;0.999;588772;4072;4350756820;1068456.979
2003;0;0;40963;13264803;323.8240119
2003;0.01;633;368660;1483380280;4023.708241
2003;0.1;7838;1638491;48649401010;29691.58879
2003;0.5;52000;1638490;1.21E+11;73786.98164
2003;0.9;108000;368660;51727781479;140312.9753
2003;0.99;233645;36866;11753717745;318822.7024
2003;0.999;571290;4096;4245474479;1036492.793
2004;0;0;41167;13282122;322.6400272
2004;0.01;629;370496;1469100333;3965.225894
2004;0.1;7726;1646648;48591382739;29509.2714
2004;0.5;52000;1646648;1.22E+11;74167.60124
2004;0.9;108963;370495;52647058948;142099.2428
2004;0.99;238564;37050;12229048843;330068.7947
2004;0.999;597923;4116;4587014946;1114435.118
2005;0;0;41904;13891477;331.5071831
2005;0.01;639;377133;1505128928;3990.976467
2005;0.1;7795;1676148;49904819173;29773.51593
2005;0.5;52456;1676147;1.26E+11;74884.04809
2005;0.9;110500;377133;54786907896;145272.1133
2005;0.99;248237;37713;13113862661;347727.9098
2005;0.999;649336;4190;5412337560;1291727.341
2006;0;0;42521;13872324;326.2464194
2006;0.01;631;382681;1520234209;3972.588681
2006;0.1;7774;1700805;51007307358;29990.09725
2006;0.5;52910;1700804;1.29E+11;75685.46092
2006;0.9;112106;382681;56848226589;148552.5192
2006;0.99;258687;38268;14172498704;370348.5603
2006;0.999;715501;4252;6459932519;1519269.172
2007;0;0;43484;14483955;333.0869975
2007;0.01;646;391352;1602901707;4095.805584
2007;0.1;8000;1739342;53495131677;30755.95925
2007;0.5;54006;1739341;1.34E+11;77320.89371
2007;0.9;115235;391352;60266933922;153996.7444
2007;0.99;274346;39135;15592351799;398424.7298
2007;0.999;797330;4348;7395514277;1700900.248
2008;0;0;44497;16586621;372.7581859
2008;0.01;734;400471;1765356182;4408.1998
2008;0.1;8480;1779872;56656753532;31831.92585
2008;0.5;55389;1779871;1.41E+11;79033.36548
2008;0.9;118053;400471;63194375752;157800.1297
2008;0.99;280956;40047;16326547581;407684.66
2008;0.999;802166;4449;7508242621;1687624.774
2009;0;0;44862;16783345;374.1104944
2009;0.01;744;403756;1831268766;4535.582793
2009;0.1;8733;1794471;58466246966;32581.32729
2009;0.5;56404;1794470;1.44E+11;80299.56711
2009;0.9;119895;403756;64058874000;158657.3921
2009;0.99;275605;40375;15693850888;388702.1892
2009;0.999;742100;4486;6520917078;1453615.042
2010;0;0;45632;18075489;396.1143277
2010;0.01;783;410679;1917803976;4669.836968
2010;0.1;8913;1825242;59707761408;32712.24386
2010;0.5;56511;1825242;1.47E+11;80621.14433
2010;0.9;120564;410679;65817432847;160264.9097
2010;0.99;280452;41068;16364290649;398468.1662
2010;0.999;763588;4563;7098646767;1555697.297
2011;0;0;46582;18126536;389.1317676
2011;0.01;775;419232;1964990217;4687.118867
2011;0.1;8937;1863255;61413668027;32960.42035
2011;0.5;57081;1863255;1.52E+11;81433.05579
2011;0.9;122073;419232;68064318852;162354.7793
2011;0.99;284100;41923;16826307426;401362.198
2011;0.999;758219;4658;7066577756;1517084.104
2012;0;0;47221;18008649;381.3694966
2012;0.01;765;424983;2011782432;4733.795074
2012;0.1;9060;1888814;63149488434;33433.40765
2012;0.5;57564;1888814;1.55E+11;81908.25361
2012;0.9;122677;424983;69186455534;162798.172
2012;0.99;283730;42498;17027580585;400667.8099
2012;0.999;765743;4722;7253091978;1536021.173
2013;0;0;48018;17891815;372.6064184
2013;0.01;758;432159;2061822372;4770.980986
2013;0.1;9167;1920707;64727660443;33699.91386
2013;0.5;57773;1920707;1.58E+11;82113.38275
2013;0.9;122945;432159;70529670159;163203.0576
2013;0.99;285430;43216;17539425456;405854.9023
2013;0.999;777520;4801;7370967462;1535298.367
2014;0;0;48686;18870450;387.5949965
2014;0.01;785;438167;2117824425;4833.372721
2014;0.1;9293;1947410;66298555023;34044.47704
2014;0.5;58171;1947410;1.61E+11;82510.66079
2014;0.9;123525;438167;72002440753;164326.48
2014;0.99;288310;43817;18052924668;412007.3183
2014;0.999;796709;4868;8015611447;1646592.327
2015;0;0;49174;19272537;391.9253467
2015;0.01;789;442557;2156901280;4873.725373
2015;0.1;9392;1966923;67492587021;34313.79216
2015;0.5;58439;1966923;1.63E+11;82790.62119
2015;0.9;123977;442557;72940386940;164815.8021
2015;0.99;289270;44256;18374758346;415192.4789
2015;0.999;812106;4917;7924528856;1611659.316
2016;0;0;49567;19117623;385.6925575
2016;0.01;780;446098;2188882389;4906.729887
2016;0.1;9495;1982657;68446463434;34522.59439
2016;0.5;58514;1982656;1.65E+11;83024.2612
2016;0.9;124428;446098;73814855119;165467.8011
2016;0.99;290344;44610;18436879429;413290.2809
2016;0.999;798658;4956;7708858756;1555459.797
2017;0;0;49980;19308735;386.3292317
2017;0.01;783;449814;2219303426;4933.824705
2017;0.1;9556;1999174;69334872773;34681.75995
2017;0.5;58700;1999173;1.66E+11;83280.05827
2017;0.9;124794;449814;74716088399;166104.4085
2017;0.99;292500;44982;18850321890;419063.6675
2017;0.999;818802;4997;8244157431;1649821.379
