Jahr;Perzentil;AHV-Einkommen
1982;0;0
1982;0.01;414
1982;0.1;4529
1982;0.5;29892
1982;0.9;59666
1982;0.99;117000
1982;0.999;237500
1983;0;0
1983;0.01;425
1983;0.1;4691
1983;0.5;31030
1983;0.9;62000
1983;0.99;122000
1983;0.999;248000
1984;0;0
1984;0.01;480
1984;0.1;5059
1984;0.5;32067
1984;0.9;64000
1984;0.99;126478
1984;0.999;260456
1985;0;0
1985;0.01;507
1985;0.1;5275
1985;0.5;33011
1985;0.9;66306
1985;0.99;132452
1985;0.999;277894
1986;0;0
1986;0.01;540
1986;0.1;5485
1986;0.5;34073
1986;0.9;68700
1986;0.99;138093
1986;0.999;292439
1987;0;0
1987;0.01;559
1987;0.1;5640
1987;0.5;34800
1987;0.9;70082
1987;0.99;144000
1987;0.999;303863
1988;0;0
1988;0.01;480
1988;0.1;5637
1988;0.5;36011
1988;0.9;72830
1988;0.99;149071
1988;0.999;316493
1989;0;0
1989;0.01;480
1989;0.1;5710
1989;0.5;37043
1989;0.9;75595
1989;0.99;156480
1989;0.999;335999
1990;0;0
1990;0.01;480
1990;0.1;6200
1990;0.5;39390
1990;0.9;80295
1990;0.99;163127
1990;0.999;348000
1991;0;0
1991;0.01;556
1991;0.1;6725
1991;0.5;42598
1991;0.9;86068
1991;0.99;172280
1991;0.999;361248
1992;0;0
1992;0.01;577
1992;0.1;7123
1992;0.5;45250
1992;0.9;90573
1992;0.99;180021
1992;0.999;378707
1993;0;0
1993;0.01;591
1993;0.1;7372
1993;0.5;46498
1993;0.9;92430
1993;0.99;182528
1993;0.999;385000
1994;0;0
1994;0.01;591
1994;0.1;7238
1994;0.5;47095
1994;0.9;94297
1994;0.99;188010
1994;0.999;418000
1995;0;0
1995;0.01;556
1995;0.1;7137
1995;0.5;47582
1995;0.9;95700
1995;0.99;190968
1995;0.999;405601
1996;0;0
1996;0.01;560
1996;0.1;7202
1996;0.5;48000
1996;0.9;96600
1996;0.99;192200
1996;0.999;418507
1997;0;0
1997;0.01;539
1997;0.1;7100
1997;0.5;47997
1997;0.9;97963
1997;0.99;200606
1997;0.999;443714
1998;0;0
1998;0.01;493
1998;0.1;6420
1998;0.5;47381
1998;0.9;98561
1998;0.99;206563
1998;0.999;495000
1999;0;0
1999;0.01;546
1999;0.1;6944
1999;0.5;48466
1999;0.9;100408
1999;0.99;214575
1999;0.999;516786
2000;0;0
2000;0.01;576
2000;0.1;7163
2000;0.5;49500
2000;0.9;103182
2000;0.99;228952
2000;0.999;590645
2001;0;0
2001;0.01;589
2001;0.1;7310
2001;0.5;50415
2001;0.9;105080
2001;0.99;238967
2001;0.999;611909
2002;0;0
2002;0.01;635
2002;0.1;7719
2002;0.5;51700
2002;0.9;107355
2002;0.99;234880
2002;0.999;588772
2003;0;0
2003;0.01;633
2003;0.1;7838
2003;0.5;52000
2003;0.9;108000
2003;0.99;233645
2003;0.999;571290
2004;0;0
2004;0.01;629
2004;0.1;7726
2004;0.5;52000
2004;0.9;108963
2004;0.99;238564
2004;0.999;597923
2005;0;0
2005;0.01;639
2005;0.1;7795
2005;0.5;52456
2005;0.9;110500
2005;0.99;248237
2005;0.999;649336
2006;0;0
2006;0.01;631
2006;0.1;7774
2006;0.5;52910
2006;0.9;112106
2006;0.99;258687
2006;0.999;715501
2007;0;0
2007;0.01;646
2007;0.1;8000
2007;0.5;54006
2007;0.9;115235
2007;0.99;274346
2007;0.999;797330
2008;0;0
2008;0.01;734
2008;0.1;8480
2008;0.5;55389
2008;0.9;118053
2008;0.99;280956
2008;0.999;802166
2009;0;0
2009;0.01;744
2009;0.1;8733
2009;0.5;56404
2009;0.9;119895
2009;0.99;275605
2009;0.999;742100
2010;0;0
2010;0.01;783
2010;0.1;8913
2010;0.5;56511
2010;0.9;120564
2010;0.99;280452
2010;0.999;763588
2011;0;0
2011;0.01;775
2011;0.1;8937
2011;0.5;57081
2011;0.9;122073
2011;0.99;284100
2011;0.999;758219
2012;0;0
2012;0.01;765
2012;0.1;9060
2012;0.5;57564
2012;0.9;122677
2012;0.99;283730
2012;0.999;765743
2013;0;0
2013;0.01;758
2013;0.1;9167
2013;0.5;57773
2013;0.9;122945
2013;0.99;285430
2013;0.999;777520
2014;0;0
2014;0.01;785
2014;0.1;9293
2014;0.5;58171
2014;0.9;123525
2014;0.99;288310
2014;0.999;796709
2015;0;0
2015;0.01;789
2015;0.1;9392
2015;0.5;58439
2015;0.9;123977
2015;0.99;289270
2015;0.999;812106
2016;0;0
2016;0.01;780
2016;0.1;9495
2016;0.5;58514
2016;0.9;124428
2016;0.99;290344
2016;0.999;798658
2017;0;0
2017;0.01;783
2017;0.1;9556
2017;0.5;58700
2017;0.9;124794
2017;0.99;292500
2017;0.999;818802
